STANDARD_NAME	FATTY_ACID_OXIDATION
SYSTEMATIC_NAME	M14568
CATEGORY_CODE	ARCHIVED
SUB_CATEGORY_CODE	C5_GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/FATTY_ACID_OXIDATION
CHIP	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Genes annotated by the GO term GO:0019395. The removal of one or more electrons from a fatty acid, with or without the concomitant removal of a proton or protons, by reaction with an electron-accepting substance, by addition of oxygen or by removal of hydrogen.
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0019395
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0019395
GENESET_LISTING_URL	
MEMBERS	ACADM,ACADS,ACADVL,ADIPOR1,ADIPOR2,ALOX12,BDH2,CPT1A,CPT1B,ECH1,ECHS1,HACL1,HADHB,HAO1,HAO2,PPARA,PPARD,PPARGC1A
MAPPED_SYMBOLS	ACADM,ACADS,ACADVL,ADIPOR1,ADIPOR2,ALOX12,BDH2,CPT1A,CPT1B,ECH1,ECHS1,HACL1,HADHB,HAO1,HAO2,PPARA,PPARD,PPARGC1A
