STANDARD_NAME	FISCHER_G2_M_CELL_CYCLE
SYSTEMATIC_NAME	M130
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CGP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/FISCHER_G2_M_CELL_CYCLE
CHIP	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Cell cycle genes with peak expression in G2/M check point.
DESCRIPTION_FULL	Cell cycle genes with a CC Expression Score >= 2 (identified in at least 2 genome-wide cell cycle gene expression profiles with peak expression in G2/M)
PMID	27280975
GEOID	
AUTHORS	Fischer M,Grossmann P,Padi M,DeCaprio JA
CONTRIBUTOR	Martin Fischer
CONTRIBUTOR_ORG	Dana-Farber Cancer Institute
EXACT_SOURCE	Table S6
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
GENESET_LISTING_URL	
MEMBERS	AC004381.6,ACSL4,ADGRE5,ADGRG6,AMD1,ANLN,ANP32E,ANXA3,ARHGAP11A,ARHGAP11B,ARHGAP19,ARHGEF39,ARL4A,ARL6IP1,ASPM,ATF7IP,AURKA,AURKB,BAG3,BCAR3,BIRC3,BIRC5,BMP2,BRD8,BTBD3,BTG1,BUB1,BUB1B,BUB3,CABYR,CCNA2,CCNB1,CCNB2,CCNF,CCSAP,CDC20,CDC25B,CDC25C,CDC27,CDC42EP4,CDCA2,CDCA3,CDCA8,CDK1,CDKL5,CDKN1B,CDKN2C,CDKN2D,CDR2,CEMIP,CENPA,CENPE,CENPF,CENPL,CEP350,CEP55,CEP70,CFLAR,CHEK2,CIT,CKAP2,CKAP2L,CKAP5,CKS1B,CKS2,CLK4,CNTROB,CSPG4,CTNND1,CYP1A1,DBF4,DBF4B,DCLRE1C,DCP2,DEPDC1,DEPDC1B,DNAJB1,DR1,DUSP4,DZIP3,E2F5,ECT2,EIF2AK3,EIF4E,ELK3,ESPL1,FAM110A,FAM3C,FAM64A,FAM83D,FNBP4,FOXM1,FYN,FZR1,GAS2L3,GIT2,GOT1,GPSM2,GTSE1,H1F0,H2AFV,H2AFX,HJURP,HMG20B,HMGA2,HMGB2,HMGB3,HMGCR,HMMR,HN1,HP1BP3,HSPA1L,IQGAP3,JADE2,KATNA1,KCTD9,KDM6A,KIF11,KIF14,KIF15,KIF18A,KIF18B,KIF20A,KIF20B,KIF22,KIF23,KIF2C,KIF5B,KIFC1,KNSTRN,KPNA2,LAMC1,LBR,LDLR,MAD2L1,MAT2A,MELK,METTL4,MGAT2,MID1,MKI67,MPHOSPH9,MTMR6,NCAPH,NDC1,NDC80,NDE1,NEDD4L,NEIL3,NEK2,NET1,NFYB,NIF3L1,NUF2,NUMB,NUP35,NUP37,NUP50,NUP98,NUSAP1,OIP5,PBK,PCF11,PIF1,PKNOX1,PLAU,PLEKHA5,PLK1,PLK4,PNRC2,POLQ,PPP1R10,PPP2R5C,PRC1,PSMD11,PSRC1,PTTG1,RACGAP1,RAD21,RAD51C,RDH11,RGS3,RIN2,RNF4,RSBN1,SAP30,SAPCD2,SERTAD3,SFPQ,SGOL1,SGOL2,SHCBP1,SIX4,SLC25A24,SLCO1B3,SMTN,SPA17,SPAG5,STAT1,STIL,STK17B,SUV420H1,TACC3,TDP1,TGFB2,TGIF1,TJP1,TLDC1,TMPO,TNFAIP2,TNFAIP8L1,TNFRSF21,TNPO2,TOP2A,TPX2,TRIM59,TRIP13,TROAP,TSN,TTF2,TTK,TUBB,TUBD1,UBE2C,UBE2D1,UBE2G1,UBE2S,VANGL1,WEE1,WSB1,ZMYM1,ZNF165,ZNF207,ZNF267,ZNF518A,ZNF587,ZNF614
