STANDARD_NAME	HALLMARK_PANCREAS_BETA_CELLS
SYSTEMATIC_NAME	M5957
COLLECTION	H
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_PANCREAS_BETA_CELLS
NAMESPACE	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Genes specifically up-regulated in pancreatic beta cells.
DESCRIPTION_FULL	
PMID	26771021
GEOID	
AUTHORS	Liberzon A,Birger C,Thorvaldsdóttir H,Ghandi M,Mesirov JP,Tamayo P
CONTRIBUTOR	Arthur Liberzon
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
SOURCE_MEMBERS	ABCC8,AKT3,CHGA,DCX,DPP4,ELP4,FOXA2,FOXO1,G6PC2,GCG,GCK,HNF1A,IAPP,INS,INSM1,ISL1,LMO2,MAFB,NEUROD1,NEUROG3,NKX2-2,NKX6-1,PAK3,PAX4,PAX6,PCSK1,PCSK2,PDX1,PKLR,SCGN,SEC11A,SLC2A2,SPCS1,SRP14,SRP9,SRPRB,SST,STXBP1,SYT13,VDR
GENE_SYMBOLS	ABCC8,AKT3,CHGA,DCX,DPP4,ELP4,FOXA2,FOXO1,G6PC2,GCG,GCK,HNF1A,IAPP,INS,INSM1,ISL1,LMO2,MAFB,NEUROD1,NEUROG3,NKX2-2,NKX6-1,PAK3,PAX4,PAX6,PCSK1,PCSK2,PDX1,PKLR,SCGN,SEC11A,SLC2A2,SPCS1,SRP14,SRP9,SRPRB,SST,STXBP1,SYT13,VDR
FOUNDER_NAMES	chr3q24;M10226|PID_HNF3B_PATHWAY;M106|WEBER_METHYLATED_IN_COLON_CANCER;M14473|REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS;M14966|REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT;M17541|TESAR_ALK_TARGETS_EPISC_3D_UP;M1761|TESAR_ALK_TARGETS_EPISC_4D_UP;M1762|TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_UP;M1763|KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG;M18312|ZHOU_PANCREATIC_EXOCRINE_PROGENITOR;M1860|ZHOU_PANCREATIC_ENDOCRINE_PROGENITOR;M1862|ZHOU_PANCREATIC_BETA_CELL;M1863|MIKI_COEXPRESSED_WITH_CYP19A1;M1868|TESAR_ALK_TARGETS_HUMAN_ES_5D_UP;M19304|PAX3_01;M19407|KANG_GLIS3_TARGETS;M2460|BENPORATH_ES_CORE_NINE;M4740|chr11p13;M5824|KEGG_PROTEIN_EXPORT;M6981|CDPCR3_01;M7737|REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN;M813|REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP;M910|REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION;M928|REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1;M932
