STANDARD_NAME	JAK_STAT_CASCADE
SYSTEMATIC_NAME	M11564
CATEGORY_CODE	ARCHIVED
SUB_CATEGORY_CODE	C5_GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/JAK_STAT_CASCADE
CHIP	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Genes annotated by the GO term GO:0007259. The processes by which STAT proteins (Signal Transducers and Activators of Transcription) are activated by members of the JAK (janus activated kinase) family of tyrosine kinases, following the binding of cytokines to their cognate receptor. Once activated, STATs dimerize and translocate to the nucleus and modulate the expression of target genes.
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0007259
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0007259
GENESET_LISTING_URL	
MEMBERS	CCL2,CCR2,CLCF1,F2,F2R,FGFR3,HCLS1,HGS,IFNAR1,IFNAR2,IL12A,IL20,IL22RA2,IL29,IL31RA,LYN,NF2,NMI,PIAS1,PIGU,SOCS1,SOCS2,SOCS3,SOCS6,STAMBP,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B
MAPPED_SYMBOLS	CCL2,CCR2,CLCF1,F2,F2R,FGFR3,HCLS1,HGS,IFNAR1,IFNAR2,IL12A,IL20,IL22RA2,IFNL1,IL31RA,LYN,NF2,NMI,PIAS1,PIGU,SOCS1,SOCS2,SOCS3,SOCS6,STAMBP,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B
