STANDARD_NAME	KEGG_MTOR_SIGNALING_PATHWAY
SYSTEMATIC_NAME	M7561
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:KEGG
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_MTOR_SIGNALING_PATHWAY
CHIP	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	mTOR signaling pathway
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	KEGG
CONTRIBUTOR_ORG	Kyoto Encyclopedia of Genes and Genomes
EXACT_SOURCE	hsa04150
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://www.genome.jp/kegg/pathway/hsa/hsa04150.html
GENESET_LISTING_URL	
MEMBERS	10000,1975,1977,1978,207,208,2277,23533,2475,253260,253314,25989,27330,3091,3479,3630,5170,51719,5228,5290,5291,5293,5294,5295,5296,54541,5562,5563,5594,5595,57521,6009,6194,6195,6196,6197,6198,6199,64223,673,6794,7248,7249,7422,7423,7424,81617,8408,8503,92335,9470,9706
MAPPED_SYMBOLS	AKT3,EIF4B,EIF4E,EIF4EBP1,AKT1,AKT2,VEGFD,PIK3R5,MTOR,RICTOR,EIF4E1B,ULK3,RPS6KA6,HIF1A,IGF1,INS,PDPK1,CAB39,PGF,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,DDIT4,PRKAA1,PRKAA2,MAPK1,MAPK3,RPTOR,RHEB,RPS6,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KB1,RPS6KB2,MLST8,BRAF,STK11,TSC1,TSC2,VEGFA,VEGFB,VEGFC,CAB39L,ULK1,PIK3R3,STRADA,EIF4E2,ULK2
