STANDARD_NAME	MURARO_PANCREAS_ALPHA_CELL
SYSTEMATIC_NAME	M39168
COLLECTION	C8
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MURARO_PANCREAS_ALPHA_CELL
NAMESPACE	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	
DESCRIPTION_FULL	
PMID	27693023
GEOID	GSE85241
AUTHORS	Muraro MJ,Dharmadhikari G,Grün D,Groen N,Dielen T,Jansen E,van Gurp L,Engelse MA,Carlotti F,de Koning EJ,van Oudenaarden A
CONTRIBUTOR	Anthony Castanza
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	Table S3. Differential Gene Expression, Related to Figure 1: Differentially expressed genes between each cell type compared to all others (across all donors). Alpha
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
