STANDARD_NAME	PID_HIF1A_PATHWAY
SYSTEMATIC_NAME	M180
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:PID
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_HIF1A_PATHWAY
CHIP	Human_UniProt_ID
DESCRIPTION_BRIEF	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha
DESCRIPTION_FULL	
PMID	18832364
GEOID	
AUTHORS	Schaefer CF,Anthony K,Krupa S,Buchoff J,Day M,Hannay T,Buetow KH
CONTRIBUTOR	Pathway Interaction Database
CONTRIBUTOR_ORG	NCI, NIH and Nature Publishing Group
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
GENESET_LISTING_URL	
MEMBERS	P04637,P07900,P27540,P40337,P41227,P62877,P63244,Q13438,Q13617,Q15369,Q15370,Q16665,Q8N726,Q92905,Q96KS0,Q9GZT9,Q9H6Z9,Q9NWT6,Q9Y2N7
MAPPED_SYMBOLS	TP53,HSP90AA1,ARNT,VHL,NAA10,RBX1,RACK1,OS9,CUL2,ELOC,ELOB,HIF1A,CDKN2A,COPS5,EGLN2,EGLN1,EGLN3,HIF1AN,HIF3A
