STANDARD_NAME	REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS
SYSTEMATIC_NAME	M27253
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Cellular response to heat stress
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-3371556
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://reactome.org/PathwayBrowser/#/R-HSA-3371556|https://www.reactome.org/content/detail/R-HSA-3371556
GENESET_LISTING_URL	
MEMBERS	ENSG00000004478,ENSG00000005339,ENSG00000030066,ENSG00000044574,ENSG00000047410,ENSG00000058404,ENSG00000058804,ENSG00000069248,ENSG00000070808,ENSG00000075188,ENSG00000080824,ENSG00000082701,ENSG00000085415,ENSG00000093000,ENSG00000094631,ENSG00000094914,ENSG00000095319,ENSG00000096384,ENSG00000096717,ENSG00000100030,ENSG00000100380,ENSG00000100393,ENSG00000101146,ENSG00000102882,ENSG00000102900,ENSG00000104499,ENSG00000105821,ENSG00000105993,ENSG00000106211,ENSG00000106399,ENSG00000107018,ENSG00000107262,ENSG00000108559,ENSG00000108953,ENSG00000109846,ENSG00000109971,ENSG00000110713,ENSG00000110958,ENSG00000111581,ENSG00000112110,ENSG00000112208,ENSG00000113013,ENSG00000113569,ENSG00000117748,ENSG00000120253,ENSG00000120694,ENSG00000124789,ENSG00000125450,ENSG00000126803,ENSG00000126883,ENSG00000132002,ENSG00000132182,ENSG00000132383,ENSG00000132622,ENSG00000136243,ENSG00000138750,ENSG00000139496,ENSG00000141564,ENSG00000145349,ENSG00000146072,ENSG00000148660,ENSG00000149196,ENSG00000149257,ENSG00000149311,ENSG00000151929,ENSG00000152137,ENSG00000153201,ENSG00000155304,ENSG00000155561,ENSG00000156508,ENSG00000156735,ENSG00000157020,ENSG00000158941,ENSG00000160570,ENSG00000162889,ENSG00000163002,ENSG00000164070,ENSG00000165280,ENSG00000165868,ENSG00000166170,ENSG00000167965,ENSG00000168259,ENSG00000170276,ENSG00000170315,ENSG00000170606,ENSG00000173110,ENSG00000175054,ENSG00000185122,ENSG00000187051,ENSG00000187522,ENSG00000196313,ENSG00000196431,ENSG00000197565,ENSG00000198793,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204673,ENSG00000206383,ENSG00000212866,ENSG00000213024,ENSG00000215328,ENSG00000224501,ENSG00000226704,ENSG00000230989,ENSG00000231555,ENSG00000232804,ENSG00000234258,ENSG00000234475,ENSG00000235941,ENSG00000236251,ENSG00000237724,ENSG00000262852,ENSG00000272391,ENSG00000274474,ENSG00000284774
MAPPED_SYMBOLS	FKBP4,CREBBP,NUP160,HSPA5,TPR,CAMK2B,NDC1,NUP133,CAMK2A,NUP37,HSP90AA1,GSK3B,SEH1L,NUP50,HDAC6,AAAS,NUP188,HSP90AB1,SIRT1,MAPK1,ST13,EP300,RAE1,MAPK3,NUP93,GML,DNAJC2,DNAJB6,HSPB1,RPA3,RLN1,BAG1,NUP88,YWHAE,CRYAB,HSPA8,NUP98,PTGES3,NUP107,MRPL18,BAG2,HSPA9,NUP155,RPA2,NUP43,HSPH1,NUP153,NUP85,HSPA2,NUP214,DNAJB1,NUP210,RPA1,HSPA12B,NUP42,NUP54,NUP58,RPTOR,CAMK2D,TNFRSF21,CAMK2G,HIKESHI,SERPINH1,ATM,BAG3,HSPB8,RANBP2,HSPA13,NUP205,EEF1A1,BAG4,SEC13,CCAR2,DEDD2,MAPKAPK2,NUP35,HSPA4L,VCP,HSPA12A,BAG5,MLST8,DNAJC7,HSPB2,UBB,HSPA4,HSPA6,ATR,HSF1,RPS19BP1,HSPA14,POM121,CRYBA4,COL4A6,MTOR,HSPA1B,HSPA1A,HSPA1L,AKT1S1,HSPA1L,HSPA1B,NUP62,HSPA1A,HSPA1B,HSPA1L,HSBP1,HSPA1B,HSPA1B,HSPA1L,HSPA1A,HSPA1A,HSPA1L,HSPA1A,,POM121C,YWHAE,HSF1
