STANDARD_NAME	REACTOME_CELL_CYCLE
SYSTEMATIC_NAME	M543
COLLECTION	C2:CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CELL_CYCLE
NAMESPACE	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Cell Cycle
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-1640170
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://www.reactome.org/content/detail/R-HSA-1640170
