STANDARD_NAME	REACTOME_ERK_MAPK_TARGETS
SYSTEMATIC_NAME	M13408
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_ERK_MAPK_TARGETS
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	ERK/MAPK targets
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-198753
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://reactome.org/PathwayBrowser/#/R-HSA-198753|https://www.reactome.org/content/detail/R-HSA-198753
GENESET_LISTING_URL	
MEMBERS	ENSG00000068305,ENSG00000071242,ENSG00000081189,ENSG00000100030,ENSG00000100784,ENSG00000102882,ENSG00000104695,ENSG00000105053,ENSG00000105568,ENSG00000108861,ENSG00000112062,ENSG00000112640,ENSG00000113575,ENSG00000117676,ENSG00000120875,ENSG00000126767,ENSG00000137713,ENSG00000139318,ENSG00000164086,ENSG00000166484,ENSG00000177189,ENSG00000185386,ENSG00000281877
MAPPED_SYMBOLS	MEF2A,RPS6KA2,MEF2C,MAPK1,RPS6KA5,MAPK3,PPP2CB,VRK3,PPP2R1A,DUSP3,MAPK14,PPP2R5D,PPP2CA,RPS6KA1,DUSP4,ELK1,PPP2R1B,DUSP6,DUSP7,MAPK7,RPS6KA3,MAPK11,RPS6KA1
