STANDARD_NAME	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
SYSTEMATIC_NAME	M610
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Extracellular matrix organization
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-1474244
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://reactome.org/PathwayBrowser/#/R-HSA-1474244|https://www.reactome.org/content/detail/R-HSA-1474244
GENESET_LISTING_URL	
MEMBERS	ENSG00000005844,ENSG00000005884,ENSG00000005961,ENSG00000008516,ENSG00000011465,ENSG00000014216,ENSG00000026508,ENSG00000029559,ENSG00000030304,ENSG00000035862,ENSG00000037749,ENSG00000038295,ENSG00000038427,ENSG00000039068,ENSG00000041982,ENSG00000049089,ENSG00000049323,ENSG00000049540,ENSG00000050555,ENSG00000050767,ENSG00000053747,ENSG00000058085,ENSG00000060718,ENSG00000065618,ENSG00000072110,ENSG00000072682,ENSG00000074527,ENSG00000076662,ENSG00000077274,ENSG00000077942,ENSG00000077943,ENSG00000079385,ENSG00000080573,ENSG00000080815,ENSG00000081052,ENSG00000082293,ENSG00000082781,ENSG00000083444,ENSG00000083457,ENSG00000084636,ENSG00000086548,ENSG00000087116,ENSG00000087245,ENSG00000087303,ENSG00000090006,ENSG00000090339,ENSG00000090530,ENSG00000091136,ENSG00000091409,ENSG00000092009,ENSG00000092529,ENSG00000092758,ENSG00000092969,ENSG00000095587,ENSG00000099866,ENSG00000099953,ENSG00000100311,ENSG00000100448,ENSG00000100985,ENSG00000101144,ENSG00000101203,ENSG00000101680,ENSG00000102265,ENSG00000102996,ENSG00000103326,ENSG00000105329,ENSG00000105371,ENSG00000105376,ENSG00000105426,ENSG00000105664,ENSG00000105855,ENSG00000106333,ENSG00000106366,ENSG00000106397,ENSG00000106819,ENSG00000107957,ENSG00000108622,ENSG00000108821,ENSG00000109072,ENSG00000110799,ENSG00000110811,ENSG00000111799,ENSG00000112280,ENSG00000112769,ENSG00000113083,ENSG00000113140,ENSG00000114270,ENSG00000115221,ENSG00000115232,ENSG00000115318,ENSG00000115380,ENSG00000115414,ENSG00000115884,ENSG00000116147,ENSG00000116962,ENSG00000117122,ENSG00000117385,ENSG00000117984,ENSG00000118113,ENSG00000118271,ENSG00000118785,ENSG00000119681,ENSG00000119699,ENSG00000120332,ENSG00000122176,ENSG00000122194,ENSG00000122884,ENSG00000123342,ENSG00000123500,ENSG00000124145,ENSG00000124159,ENSG00000124469,ENSG00000124749,ENSG00000125378,ENSG00000125845,ENSG00000125965,ENSG00000125966,ENSG00000126247,ENSG00000128052,ENSG00000129038,ENSG00000130287,ENSG00000130309,ENSG00000130508,ENSG00000130635,ENSG00000130702,ENSG00000131375,ENSG00000132031,ENSG00000132205,ENSG00000132470,ENSG00000132692,ENSG00000134013,ENSG00000134569,ENSG00000134871,ENSG00000134917,ENSG00000135047,ENSG00000135074,ENSG00000135424,ENSG00000135773,ENSG00000135862,ENSG00000136943,ENSG00000137225,ENSG00000137332,ENSG00000137673,ENSG00000137674,ENSG00000137745,ENSG00000137801,ENSG00000137809,ENSG00000137845,ENSG00000138080,ENSG00000138131,ENSG00000138316,ENSG00000138448,ENSG00000138685,ENSG00000138829,ENSG00000139219,ENSG00000139329,ENSG00000139626,ENSG00000140092,ENSG00000140564,ENSG00000140678,ENSG00000140873,ENSG00000142156,ENSG00000142173,ENSG00000142192,ENSG00000142330,ENSG00000142449,ENSG00000142798,ENSG00000143127,ENSG00000143387,ENSG00000143537,ENSG00000144668,ENSG00000144810,ENSG00000145536,ENSG00000145681,ENSG00000146197,ENSG00000147044,ENSG00000148848,ENSG00000149257,ENSG00000149260,ENSG00000149294,ENSG00000149380,ENSG00000149968,ENSG00000150093,ENSG00000151651,ENSG00000151694,ENSG00000151914,ENSG00000152591,ENSG00000152592,ENSG00000152952,ENSG00000153113,ENSG00000154229,ENSG00000154721,ENSG00000154734,ENSG00000154736,ENSG00000156103,ENSG00000156140,ENSG00000156886,ENSG00000157227,ENSG00000157766,ENSG00000158769,ENSG00000158859,ENSG00000159307,ENSG00000160255,ENSG00000160963,ENSG00000161638,ENSG00000162510,ENSG00000162512,ENSG00000162692,ENSG00000162733,ENSG00000162736,ENSG00000162909,ENSG00000162949,ENSG00000163131,ENSG00000163217,ENSG00000163359,ENSG00000163520,ENSG00000163638,ENSG00000163710,ENSG00000164171,ENSG00000164305,ENSG00000164344,ENSG00000164692,ENSG00000164733,ENSG00000166033,ENSG00000166086,ENSG00000166147,ENSG00000166482,ENSG00000166670,ENSG00000166794,ENSG00000167751,ENSG00000168056,ENSG00000168477,ENSG00000168487,ENSG00000168542,ENSG00000168615,ENSG00000168925,ENSG00000168928,ENSG00000169031,ENSG00000169035,ENSG00000169436,ENSG00000169439,ENSG00000169896,ENSG00000170275,ENSG00000171502,ENSG00000171557,ENSG00000171560,ENSG00000171564,ENSG00000171812,ENSG00000172037,ENSG00000172236,ENSG00000172270,ENSG00000172638,ENSG00000172752,ENSG00000173402,ENSG00000175309,ENSG00000175899,ENSG00000177697,ENSG00000178209,ENSG00000179915,ENSG00000182472,ENSG00000182492,ENSG00000182871,ENSG00000183798,ENSG00000185624,ENSG00000187045,ENSG00000187498,ENSG00000187955,ENSG00000188153,ENSG00000188157,ENSG00000188517,ENSG00000188770,ENSG00000196104,ENSG00000196569,ENSG00000196611,ENSG00000196655,ENSG00000196739,ENSG00000196776,ENSG00000196878,ENSG00000197461,ENSG00000197467,ENSG00000197561,ENSG00000197565,ENSG00000197614,ENSG00000198598,ENSG00000198756,ENSG00000198947,ENSG00000203697,ENSG00000204248,ENSG00000204262,ENSG00000204291,ENSG00000204580,ENSG00000204983,ENSG00000206290,ENSG00000206384,ENSG00000213949,ENSG00000214711,ENSG00000215018,ENSG00000215522,ENSG00000227801,ENSG00000229353,ENSG00000230456,ENSG00000230930,ENSG00000234078,ENSG00000235708,ENSG00000236236,ENSG00000256812,ENSG00000259207,ENSG00000261371,ENSG00000262406,ENSG00000274247,ENSG00000275365,ENSG00000275896,ENSG00000277571,ENSG00000280495,ENSG00000282049,ENSG00000283802,ENSG00000285132
