STANDARD_NAME	REACTOME_MICRORNA_MIRNA_BIOGENESIS
SYSTEMATIC_NAME	M712
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_MICRORNA_MIRNA_BIOGENESIS
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	MicroRNA (miRNA) biogenesis
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-203927
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://reactome.org/PathwayBrowser/#/R-HSA-203927|https://www.reactome.org/content/detail/R-HSA-203927
GENESET_LISTING_URL	
MEMBERS	ENSG00000005075,ENSG00000047315,ENSG00000092847,ENSG00000099817,ENSG00000100142,ENSG00000100697,ENSG00000102978,ENSG00000105258,ENSG00000113360,ENSG00000123908,ENSG00000124571,ENSG00000126070,ENSG00000128191,ENSG00000132341,ENSG00000134698,ENSG00000139546,ENSG00000144231,ENSG00000147669,ENSG00000163882,ENSG00000168002,ENSG00000177700,ENSG00000180228,ENSG00000181222,ENSG00000186666,ENSG00000207563
MAPPED_SYMBOLS	POLR2J,POLR2B,AGO1,POLR2E,POLR2F,DICER1,POLR2C,POLR2I,DROSHA,AGO2,XPO5,AGO3,DGCR8,RAN,AGO4,TARBP2,POLR2D,POLR2K,POLR2H,POLR2G,POLR2L,PRKRA,POLR2A,BCDIN3D,MIR23B
