STANDARD_NAME	REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION
SYSTEMATIC_NAME	M27423
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	VEGFR2 mediated cell proliferation
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-5218921
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://reactome.org/PathwayBrowser/#/R-HSA-5218921|https://www.reactome.org/content/detail/R-HSA-5218921
GENESET_LISTING_URL	
MEMBERS	ENSG00000067606,ENSG00000096433,ENSG00000112715,ENSG00000123104,ENSG00000124181,ENSG00000128052,ENSG00000133703,ENSG00000140992,ENSG00000145715,ENSG00000150995,ENSG00000154229,ENSG00000163932,ENSG00000166501,ENSG00000168710,ENSG00000174775,ENSG00000176170,ENSG00000197122,ENSG00000198668,ENSG00000213281,ENSG00000276536
MAPPED_SYMBOLS	PRKCZ,ITPR3,VEGFA,ITPR2,PLCG1,KDR,KRAS,PDPK1,RASA1,ITPR1,PRKCA,PRKCD,PRKCB,AHCYL1,HRAS,SPHK1,SRC,CALM1,NRAS,HRAS
