STANDARD_NAME	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS
SYSTEMATIC_NAME	M39495
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:WIKIPATHWAYS
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS
CHIP	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	Cytoplasmic ribosomal proteins
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	WikiPathways
CONTRIBUTOR_ORG	WikiPathways
EXACT_SOURCE	WP477
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://www.wikipathways.org/instance/WP477_r117044
GENESET_LISTING_URL	
MEMBERS	101929876,102465483,102465978,11224,2197,23521,25873,27330,3921,4736,6122,6123,6124,6125,6128,6129,6130,6132,6133,6134,6135,6136,6137,6138,6139,6141,6142,6143,6144,6146,6147,6152,6154,6155,6156,6157,6158,6159,6160,6161,6164,6165,6167,6168,6169,6170,6171,6173,6175,6176,6181,6187,6188,6189,6191,6192,6193,6194,6195,6196,6197,6198,6199,6201,6202,6203,6204,6205,6206,6207,6208,6209,6210,6217,6218,6222,6223,6224,6227,6228,6229,6230,6231,6232,6233,6234,6235,7311,9045,9349,9801
MAPPED_SYMBOLS	,MIR6805,MIR6850,RPL35,FAU,RPL13A,RPL36,RPS6KA6,RPSA,RPL10A,RPL3,RPL3L,RPL4,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPL10,RPL11,RPL12,RPL13,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23A,RPL24,RPL26,RPL27,RPL30,RPL27A,RPL28,RPL29,RPL31,RPL32,RPL34,RPL35A,RPL37,RPL37A,RPL38,RPL39,RPL41,RPL36A,RPLP0,RPLP1,RPLP2,RPS2,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KB1,RPS6KB2,RPS7,RPS8,RPS9,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,UBA52,RPL14,RPL23,MRPL19
