STANDARD_NAME	WP_NRF2_PATHWAY
SYSTEMATIC_NAME	M39454
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:WIKIPATHWAYS
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/WP_NRF2_PATHWAY
CHIP	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	NRF2 pathway
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	WikiPathways
CONTRIBUTOR_ORG	WikiPathways
EXACT_SOURCE	WP2884
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://www.wikipathways.org/instance/WP2884_r106658
GENESET_LISTING_URL	
MEMBERS	10057,10257,102724197,1066,11182,11254,114112,114134,115584,1244,125206,131,140809,144195,154091,1548,155184,1579,159963,160728,1728,177,1839,1958,1969,200010,201266,2042,218,221074,221223,221357,2258,22949,23491,23516,23657,23764,2495,2512,2539,25800,2678,27173,2729,2730,283375,283848,2877,2878,28968,2936,2938,2939,2940,2941,2944,2946,2947,2948,2949,2950,2953,29985,29986,29988,3082,3084,3162,3303,3320,3326,3337,340024,348932,388662,4097,4199,4258,4259,4780,5052,5155,5226,5265,54577,54578,54600,54657,54658,54659,5467,54716,55117,55334,55630,56606,57181,60482,6256,64116,645,6513,6514,6515,6517,6518,6523,6524,6526,6527,6528,6529,6530,6531,6532,6533,6534,6535,6536,6538,6540,66035,6649,7039,7040,7042,7048,728441,7295,7296,7364,7922,81031,8714,873,874,8824,8878,8884,91227,91252,9152,92086,9588,9817
MAPPED_SYMBOLS	ABCC5,ABCC4,,CES1,SLC2A6,SLC6A14,TXNRD3,SLC2A13,SLC5A11,ABCC2,SLC5A10,ADH7,SRXN1,SLC2A14,SLC2A12,CYP2A6,SLC2A7,CYP4A11,SLC5A12,SLC5A8,NQO1,AGER,HBEGF,EGR1,EPHA2,SLC5A9,SLC39A11,EPHA3,ALDH3A1,SLC39A12,CES5A,GSTA5,FGF13,PTGR1,CES3,SLC39A14,SLC7A11,MAFF,FTH1,FTL,G6PD,SLC39A6,GGT1,SLC39A1,GCLC,GCLM,SLC39A5,CES4A,GPX2,GPX3,SLC6A16,GSR,GSTA1,GSTA2,GSTA3,GSTA4,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTP1,GSTT2,SLC39A3,SLC39A2,SLC2A8,HGF,NRG1,HMOX1,HSPA1A,HSP90AA1,HSP90AB1,DNAJB1,SLC6A19,SLC6A18,SLC6A17,MAFG,ME1,MGST2,MGST3,NFE2L2,PRDX1,PDGFB,PGD,SERPINA1,UGT1A7,UGT1A6,UGT1A9,UGT1A4,UGT1A1,UGT1A3,PPARD,SLC6A20,SLC6A15,SLC39A9,SLC39A4,SLC2A9,SLC39A10,SLC5A7,RXRA,SLC39A8,BLVRB,SLC2A1,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC5A1,SLC5A2,SLC5A3,SLC5A4,SLC5A5,SLC6A1,SLC6A2,SLC6A3,SLC6A4,SLC6A6,SLC6A7,SLC6A8,SLC6A9,SLC6A11,SLC6A13,SLC2A11,SOD3,TGFA,TGFB1,TGFB2,TGFBR2,GGT2,TXN,TXNRD1,UGT2B7,SLC39A7,SLC2A10,ABCC3,CBR1,CBR3,CES2,SQSTM1,SLC5A6,GGTLC2,SLC39A13,SLC6A5,GGTLC1,PRDX6,KEAP1
