STANDARD_NAME	WP_ONECARBON_METABOLISM
SYSTEMATIC_NAME	M39471
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:WIKIPATHWAYS
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ONECARBON_METABOLISM
CHIP	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	One-carbon metabolism
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	WikiPathways
CONTRIBUTOR_ORG	WikiPathways
EXACT_SOURCE	WP241
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://www.wikipathways.org/instance/WP241_r120901
GENESET_LISTING_URL	
MEMBERS	10588,10797,10840,10841,123263,1719,1786,1788,1789,191,23382,2346,25902,2618,27430,2745,275,4143,4522,4524,4548,4552,471,55349,635,6470,6472,6948,7298
MAPPED_SYMBOLS	MTHFS,MTHFD2,ALDH1L1,FTCD,MTFMT,DHFR,DNMT1,DNMT3A,DNMT3B,AHCY,AHCYL2,FOLH1,MTHFD1L,GART,MAT2B,GLRX,AMT,MAT1A,MTHFD1,MTHFR,MTR,MTRR,ATIC,CHDH,BHMT,SHMT1,SHMT2,TCN2,TYMS
