STANDARD_NAME	REACTOME_FATTY_ACID_METABOLISM
SYSTEMATIC_NAME	M27854
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_FATTY_ACID_METABOLISM
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Fatty acid metabolism
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-8978868
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://reactome.org/PathwayBrowser/#/R-HSA-8978868|https://www.reactome.org/content/detail/R-HSA-8978868
GENESET_LISTING_URL	
MEMBERS	ENSG00000004779,ENSG00000005187,ENSG00000005421,ENSG00000005469,ENSG00000012660,ENSG00000012779,ENSG00000015413,ENSG00000059377,ENSG00000060971,ENSG00000066322,ENSG00000068366,ENSG00000072210,ENSG00000072778,ENSG00000073756,ENSG00000074696,ENSG00000076555,ENSG00000084754,ENSG00000087008,ENSG00000095303,ENSG00000095321,ENSG00000097021,ENSG00000099194,ENSG00000099797,ENSG00000099998,ENSG00000100031,ENSG00000100075,ENSG00000100294,ENSG00000100372,ENSG00000101473,ENSG00000101986,ENSG00000103150,ENSG00000103222,ENSG00000103740,ENSG00000104325,ENSG00000105852,ENSG00000105854,ENSG00000106617,ENSG00000106853,ENSG00000107317,ENSG00000107537,ENSG00000107897,ENSG00000108839,ENSG00000110090,ENSG00000110958,ENSG00000111144,ENSG00000111271,ENSG00000112033,ENSG00000112304,ENSG00000112474,ENSG00000113790,ENSG00000114054,ENSG00000115361,ENSG00000115425,ENSG00000116171,ENSG00000116353,ENSG00000116711,ENSG00000116882,ENSG00000117054,ENSG00000117480,ENSG00000118402,ENSG00000119673,ENSG00000119915,ENSG00000120915,ENSG00000122971,ENSG00000123130,ENSG00000123983,ENSG00000124212,ENSG00000124370,ENSG00000127884,ENSG00000130377,ENSG00000130948,ENSG00000131238,ENSG00000131373,ENSG00000131473,ENSG00000131791,ENSG00000132965,ENSG00000133422,ENSG00000133835,ENSG00000134716,ENSG00000134824,ENSG00000138029,ENSG00000138061,ENSG00000138109,ENSG00000138115,ENSG00000138796,ENSG00000140043,ENSG00000140284,ENSG00000140465,ENSG00000140505,ENSG00000140876,ENSG00000141096,ENSG00000141179,ENSG00000142973,ENSG00000143554,ENSG00000145284,ENSG00000145439,ENSG00000146085,ENSG00000148334,ENSG00000148344,ENSG00000149084,ENSG00000149485,ENSG00000151365,ENSG00000151611,ENSG00000151726,ENSG00000152463,ENSG00000153093,ENSG00000155016,ENSG00000155368,ENSG00000157184,ENSG00000157870,ENSG00000159228,ENSG00000159445,ENSG00000161533,ENSG00000161905,ENSG00000162365,ENSG00000162390,ENSG00000162409,ENSG00000162889,ENSG00000163106,ENSG00000164120,ENSG00000164181,ENSG00000164398,ENSG00000165175,ENSG00000165591,ENSG00000165841,ENSG00000165996,ENSG00000167107,ENSG00000167261,ENSG00000167315,ENSG00000167468,ENSG00000167969,ENSG00000168306,ENSG00000168452,ENSG00000169710,ENSG00000170522,ENSG00000171903,ENSG00000171954,ENSG00000172497,ENSG00000173124,ENSG00000175198,ENSG00000176153,ENSG00000176244,ENSG00000176715,ENSG00000177465,ENSG00000178537,ENSG00000179148,ENSG00000179477,ENSG00000179593,ENSG00000180432,ENSG00000181513,ENSG00000184227,ENSG00000186115,ENSG00000186350,ENSG00000186526,ENSG00000186529,ENSG00000187048,ENSG00000188921,ENSG00000196139,ENSG00000196407,ENSG00000197142,ENSG00000197375,ENSG00000197977,ENSG00000198721,ENSG00000204195,ENSG00000204228,ENSG00000205560,ENSG00000205669,ENSG00000205678,ENSG00000206256,ENSG00000206329,ENSG00000206527,ENSG00000213316,ENSG00000213965,ENSG00000221988,ENSG00000225312,ENSG00000227600,ENSG00000228116,ENSG00000228357,ENSG00000228712,ENSG00000230124,ENSG00000231618,ENSG00000232357,ENSG00000233276,ENSG00000236649,ENSG00000240303,ENSG00000242110,ENSG00000242612,ENSG00000255154,ENSG00000263163,ENSG00000274296,ENSG00000275176,ENSG00000275565,ENSG00000278183,ENSG00000278540,ENSG00000283887
MAPPED_SYMBOLS	NDUFAB1,ACSM3,PON1,CROT,ELOVL5,ALOX5,DPEP1,TBXAS1,ACAA1,ELOVL1,ACSL4,ALDH3A2,ACADVL,PTGS2,HACD3,ACACB,HADHA,ACOX3,PTGS1,CRAT,ACOT7,SCD,TECR,GGT5,GGT1,SLC25A1,MCAT,SLC25A17,ACOT8,ABCD1,MLYCD,ABCC1,ACSBG1,DECR1,PON3,PON2,PRKAG2,PTGR1,PTGDS,PHYH,ACBD5,ALOX12,CPT1A,PTGES3,LTA4H,ACAD10,PPARD,ACOT13,HSD17B8,EHHADH,PCCB,ACADL,PECR,SCP2,MECR,PLA2G4A,HAO2,ACADM,FAAH,ELOVL4,ACOT2,ELOVL3,EPHX2,ACADS,ACOT9,ACSL3,PTGIS,MCEE,ECHS1,ACSBG2,HSD17B3,PPT1,HACL1,ACLY,PRKAB2,ALOX5AP,MORC2,HSD17B4,CYP2J2,FADS2,HADHB,CYP1B1,CYP2C9,CYP2C8,HADH,PTGR2,SLC27A2,CYP1A1,CYP1A2,NUDT7,DPEP3,PCTP,CYP4B1,SLC27A3,SCD5,CBR4,MMUT,PTGES2,PTGES,HSD17B12,FADS1,THRSP,MMAA,ACSL1,OLAH,ACOXL,CYP2U1,DBI,CPT2,PRXL2B,CBR1,THEM4,ACOX1,ALOX15,CYP4A22,ACOT11,PRKAA2,MAPKAPK2,HPGDS,HPGD,ELOVL7,ACSL6,MID1IP1,FAAH2,CYP2C19,HACD1,ACSF2,DPEP2,ACAA2,GPX4,ECI1,ACOX2,PPT2,FASN,ELOVL6,CYP4F11,CYP4F22,ACOT12,ACSM6,PCCA,GPX2,ACBD7,ACSF3,ACOT4,SLC25A20,ALOXE3,ALOX12B,ALOX15B,CYP8B1,ACBD4,ACOT1,CYP4F2,RXRA,CYP4F8,CYP4F3,CYP4A11,HACD4,AKR1C3,THEM5,ACSL5,SLC22A5,ELOVL2,ECI2,AWAT1,HSD17B8,CPT1B,ACOT6,TECRL,PPT2,PPT2,HACD2,LTC4S,NUDT19,PPT2,HSD17B8,PPT2,PPT2,HSD17B8,HSD17B8,ACBD6,PPT2,HSD17B8,GPX1,PPT2,ACAD11,AMACR,DECR2,HTD2,SLC27A3,DECR2,ACACA,ALOX5,ABCC1,ACACA,LTC4S
