Species	Term Accession	Term	Object	RGD ID	Symbol	Name	Type	Qualifiers	Evidence	Chr	Start	Stop	Reference(s)	Source(s)	Original Reference(s)	Notes
Human	GO:0043086	negative regulation of catalytic activity	gene	731908	ACACB	acetyl-CoA carboxylase beta	protein-coding	involved_in	IEA	12	109,111,189	109,268,226	Ensembl, Ensembl	Ensembl	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1350490	ANOS1	anosmin 1	protein-coding	involved_in	IEA	  X	8,528,874	8,732,137	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1321615	ANP32E	acidic nuclear phosphoprotein 32 family member E	protein-coding	involved_in	IEA	 1	150,218,417	150,236,112	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	730873	ANXA1	annexin A1	protein-coding	involved_in	IEA	 9	73,151,865	73,170,393	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	736099	ANXA2	annexin A2	protein-coding	involved_in	IEA	15	60,347,151	60,397,986	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1347050	ANXA2P2	annexin A2 pseudogene 2	pseudo	involved_in	IEA	 9	33,624,225	33,625,534	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	735865	ANXA3	annexin A3	protein-coding	involved_in	IEA	 4	78,551,770	78,610,447	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	735938	ANXA4	annexin A4	protein-coding	involved_in	IEA	 2	69,643,808	69,827,112	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	734268	ANXA5	annexin A5	protein-coding	involved_in	IEA	 4	121,667,946	121,696,980	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1352405	ANXA9	annexin A9	protein-coding	involved_in	IEA	 1	150,977,306	150,995,634	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	737449	APBA3	amyloid beta precursor protein binding family A member 3	protein-coding	involved_in	IDA	19	3,750,772	3,761,692	UniProt, UniProt	UniProt	PMID:19726677 	  (PMID:19726677)
Human	GO:0043086	negative regulation of catalytic activity	gene	1352001	APOC2	apolipoprotein C2	protein-coding	involved_in	IEA	19	44,946,051	44,949,565	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1606318	ARPP19	cAMP regulated phosphoprotein 19	protein-coding	involved_in	IEA	15	52,547,045	52,569,446	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	732370	ARRB1	arrestin beta 1	protein-coding	involved_in	IEA	11	75,260,122	75,351,661	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1317732	BSCL2	BSCL2 lipid droplet biogenesis associated, seipin	protein-coding	involved_in	ISO	11	62,690,262	62,709,537	MGI	MGI	PMID:27806294 	  (MGI:5904930|PMID:27806294)
Human	GO:0043086	negative regulation of catalytic activity	gene	732324	CABIN1	calcineurin binding protein 1	protein-coding	involved_in	IEA	22	24,011,304	24,178,628	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	731282	CABP1	calcium binding protein 1	protein-coding	involved_in	IEA	12	120,640,626	120,680,866	GOC, GOC	GOC	 	
